date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
22:04:2013,82802.0,2398.0,2400.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,47,"French Hall,Johnson Audiology,Nugget Arcade,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,114940.0,0.0,1144.0,4946.0,6000.0,0.0,0.0,2,1.0,7800.0,47,"Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,French Hall,Channing Cox Parking Lot,Channing Cox Parking Lot,French Hall,French Hall,Kemeny Hall,Kemeny Hall,Dartmouth College"
23:04:2013,63614.0,0.0,6000.0,1200.0,5987.0,0.0,4799.0,1,0.0,0.0,47,"Dartmouth College,Berry Library,Zahm Courtyard,Zahm Courtyard,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Amarna,Kappa Kappa Gamma,Kappa Kappa Gamma,Amarna,0,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,The Arthur L. Irving Institute for Energy & Society,French Hall"
23:05:2013,46809.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,47,"Dartmouth College,French Hall"
24:04:2013,52814.0,3600.0,27777.0,1186.0,10816.0,0.0,0.0,2,1.0,7800.0,47,"French Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Dartmouth College,Channing Cox Parking Lot,Channing Cox Parking Lot,French Hall"
24:05:2013,2368.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,47,"French Hall,Dartmouth College"
25:04:2013,60082.0,0.0,19342.0,1198.0,2384.0,0.0,0.0,3,1.0,7800.0,47,"French Hall,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Hanover High School,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Judge Hall,Judge Hall,French Hall,French Hall"
26:04:2013,44544.0,0.0,32353.0,2400.0,0.0,0.0,0.0,4,1.0,6000.0,47,"Baker Memorial Library,Baker Memorial Library,Hopkins Center for the Arts,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Berry Library,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library,French Hall,French Hall,Haldeman Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Baker Memorial Library,Baker Memorial Library"
27:04:2013,28775.0,0.0,1247.0,3597.0,57177.0,0.0,0.0,5,0.0,0.0,47,"0,Haldeman Center,Anonymous Hall,Dartmouth College,Dartmouth College,0,MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0"
28:03:2013,350004.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,47,Dartmouth College
28:04:2013,21270.0,0.0,6694.0,0.0,67338.0,0.0,0.0,-1,0.0,0.0,47,"0,Universel Déjeuners et Grillades,0,P1,P1,P1,Place Marie-Victorin,0,0,Universel Déjeuners et Grillades,0,0,0,0,0,0,0,0,0,0"
29:04:2013,76729.0,0.0,2400.0,1244.0,0.0,0.0,0.0,0,1.0,7800.0,47,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Carson Hall,French Hall,French Hall,Dartmouth College"
30:04:2013,76071.0,0.0,9637.0,0.0,0.0,0.0,0.0,1,0.0,0.0,47,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Baker Memorial Library,French Hall,French Hall"
