,tnv,distance,velocity,accelerate,hour in date,min in date,moving,inactive,time_difference
14470,19,120.30955414416098,0.100174483050925,8.34092281856162e-05,22,9,True,1.0,20.0
14471,19,157.79652077662,0.1316067729579816,0.0001097637806154,22,29,True,1.0,20.0
14472,19,1.0157426818948925,0.0008464522349124,7.053768624270087e-07,23,9,False,0.0,40.0
14473,19,154.98360498710636,0.1291530041559219,0.0001076275034632,23,29,True,1.0,20.0
14474,19,0.7000433302387159,0.0005828837054443,4.853319778887535e-07,0,29,False,0.0,60.0
14475,19,345.72287970726444,0.2881023997560537,0.00024008533313,0,49,True,1.0,20.0
14476,19,172.53826177704252,0.1437818848142021,0.0001198182373451,1,9,True,1.0,20.0
14477,19,50.34791013307002,0.0419915847648624,3.502217244775847e-05,1,29,True,1.0,20.0
14478,19,534.8225457362229,0.4460571690877589,0.0003720243278463,4,29,True,1.0,20.0
14479,19,81.26143726702016,0.0676614798226645,5.633761850346759e-05,4,49,True,1.0,20.0
14480,19,699.361126580242,0.5828009388168683,0.000485667449014,5,9,True,1.0,20.0
14481,19,0.6176800439845884,0.0005147333699871,4.289444749892975e-07,6,9,False,0.0,60.0
14482,19,97.40147255525886,0.0811003102042122,6.752731907095105e-05,6,29,True,1.0,20.0
14483,19,40.794463317959554,0.0340237392143115,2.8376763314688533e-05,6,49,True,1.0,20.0
14484,19,0.5902289175951226,0.0004922676543745,4.1056518296462134e-07,7,29,False,0.0,40.0
14485,19,46.53195693765404,0.0387766307813783,3.231385898448197e-05,7,49,True,1.0,20.0
14486,19,589.946404172245,0.4916220034768708,0.0004096850028973,20,9,True,1.0,20.0
14487,19,1.304022538365625,0.0010875917751172,9.070823812487784e-07,20,49,False,0.0,40.0
14488,19,583.5774181121274,0.4863145150934395,0.0004052620959111,21,9,True,1.0,20.0
14489,19,195.99597507817344,0.1633299792318112,0.0001361083160265,23,9,True,1.0,20.0
14490,19,16.869383367844875,0.014057819473204,1.1714849561003386e-05,23,49,False,0.0,40.0
14491,19,421.1203925753874,0.3509336604794895,0.0002924447170662,0,9,True,1.0,20.0
