date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
27:05:2013,38409.0,0.0,0.0,47487.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College"
28:04:2013,61198.0,10802.0,0.0,7200.0,0.0,0.0,-1,0.0,0.0,11,"Sudikoff Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium"
28:05:2013,44401.0,7200.0,0.0,33600.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
29:04:2013,78000.0,7200.0,0.0,2400.0,0.0,0.0,0,1.0,7800.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Berry Library,Dartmouth College"
29:05:2013,72000.0,13199.0,0.0,2400.0,0.0,0.0,2,1.0,14400.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,64799.0,0.0,0.0,13200.0,0.0,0.0,5,0.0,0.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
30:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
30:05:2013,85636.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
31:03:2013,73200.0,0.0,0.0,9600.0,0.0,0.0,-1,0.0,0.0,11,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
31:05:2013,97201.0,0.0,0.0,12000.0,0.0,0.0,4,1.0,6000.0,11,"Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Dartmouth College"
